hospital_name,city,state_code,rural_versus_urban,net_income,net_patient_revenue,total_costs,total_discharges,medicare_discharges,cost_to_charge_ratio,cost_of_charity_care,medicare_dependency_pct,charge_markup_ratio
"SANFORD MEDICAL CENTER VERMILLION",VERMILLION,SD,R,5681708.00,33690674.00,20777953.00,255,112,0.3763,2957523.00,43.92,2.66
"MOAB REGIONAL HOSPITAL",MOAB,UT,R,-103858.00,47559486.00,41233990.00,399,142,0.5723,1315975.00,35.59,1.75
"WHITE MOUNTAIN REGIONAL HOSPITAL",SPRINGERVILLE,AZ,R,1551350.00,24506218.00,21953003.00,184,63,0.3944,38159.00,34.24,2.54
"GOOD SAMARITAN HOSPITAL-BAKERSFIELD",BAKERSFIELD,CA,U,-178453.00,38064613.00,34436295.00,2411,392,0.3775,NULL,16.26,2.65
"DEL AMO HOSPITAL",TORRANCE,CA,U,13368408.00,56141273.00,40539749.00,7158,525,NULL,NULL,7.33,2.50
"BANNER FORT COLLINS MEDICAL CENTER","FORT COLLINS",CO,U,7267833.00,60224286.00,48853004.00,1378,90,0.2988,667429.00,6.53,3.35
"HEART OF THE ROCKIES REG MED CENTER",SALIDA,CO,R,14853644.00,129529195.00,99686395.00,740,275,0.3641,768220.00,37.16,2.75
"WELLINGTON REGL MEDICAL CENTER","WEST PALM BEACH",FL,U,7132681.00,263246755.00,218500980.00,17664,2379,0.0822,5973256.00,13.47,12.16
"ST. MARYS HEALTH",COTTONWOOD,ID,R,2273538.00,25237921.00,24430505.00,264,135,0.8442,171127.00,51.14,1.18
"VIRTUA OUR LADY OF LOURDES HOSPITAL",CAMDEN,NJ,U,10652844.00,474379779.00,359910150.00,11793,3390,0.1052,8060249.00,28.75,9.51
"VIRTUA MOUNT HOLLY HOSPITAL","MT. HOLLY",NJ,U,80761903.00,407897185.00,297469238.00,15194,3591,0.1038,5114916.00,23.63,9.63
"VIRTUA WILLINGBORO HOSPITAL",WILLINGBORO,NJ,U,-7158153.00,120777159.00,103846195.00,4378,1193,0.1132,3458665.00,27.25,8.83
"SAINT BARNABAS BEHAVIORAL HEALTH CEN","TOMS RIVER",NJ,U,862045.00,12226386.00,11302053.00,1065,509,NULL,NULL,47.79,1.63
"HASKELL REGIONAL HOSPITAL",STIGLER,OK,R,2690486.00,15577983.00,15672563.00,50,34,0.6572,412174.00,68.00,1.52
"HOSPITAL CAYETANO COLL & TOSTE",ARECIBO,PR,U,-5540069.00,60233563.00,48629976.00,7572,483,0.5153,NULL,6.38,1.94
"HOSPITAL METRO HATO REY  INC.","HATO REY",PR,U,-9170376.00,29571954.00,26435577.00,1484,61,0.5079,NULL,4.11,1.97
"FAULKTON AREA MEDICAL CENTER",FAULKTON,SD,R,-139910.00,10985186.00,11364503.00,157,118,0.8982,81267.00,75.16,1.11
"MEMORIAL HERMANN NORTHEAST",HUMBLE,TX,U,44048675.00,413519970.00,361301305.00,15952,2082,0.1718,34065393.00,13.05,5.82
"CARRUS SPECIALTY HOSPITAL",SHERMAN,TX,U,-265531.00,15060059.00,14031427.00,315,236,NULL,NULL,74.92,4.28
"WESLACO REGIONAL REHABILITATION HOSP",WESLACO,TX,U,-27695.00,9747261.00,10586351.00,448,149,NULL,NULL,33.26,1.49
"MEMORIAL HOSPITAL OF LAFAYETTE CTY",DARLINGTON,WI,R,6504879.00,28439472.00,25484244.00,221,121,0.5722,193692.00,54.75,1.75
"RIPON MEDICAL CENTER",RIPON,WI,R,-562791.00,31774284.00,26128325.00,432,129,0.3708,829446.00,29.86,2.70
"THE RICHLAND HOSPITAL  INC","RICHLAND CENTER",WI,R,-301434.00,71848364.00,60258784.00,902,408,0.4851,489810.00,45.23,2.06
"LAKE MARTIN COMMUNITY HOSPITAL",DADEVILLE,AL,R,-4506183.00,8377611.00,13608254.00,500,105,0.7700,125830.00,21.00,1.30
"BANNER IRONWOOD MEDICAL CENTER","QUEEN CREEK",AZ,U,13984447.00,128235769.00,98142734.00,6068,760,0.1877,2525450.00,12.52,5.33
"BINGHAM MEMORIAL HOSPITAL",BLACKFOOT,ID,R,4437093.00,168612827.00,118509776.00,1225,359,0.3854,1277615.00,29.31,2.59
"MAYO CLINIC HEALTH SYS - ST. JAMES","ST. JAMES",MN,R,3325142.00,25927645.00,20652327.00,244,113,0.5950,669338.00,46.31,1.68
"GILLETTE CHILDRENS SPECIALTY HEALTH","ST. PAUL",MN,U,10365668.00,268681576.00,222431432.00,2122,23,NULL,NULL,1.08,2.41
"CHILDRENS HEALTH CARE",MINNEAPOLIS,MN,U,83747829.00,1016840113.00,812959075.00,14468,6,NULL,NULL,0.04,2.45
"UHS OF PEACHFORD LP",ATLANTA,GA,U,13424382.00,50433764.00,35226391.00,8336,330,NULL,NULL,3.96,4.04
"SOLUTIONS MEDICAL CONSULTING  LLC",RUSTON,LA,R,-64091.00,4940422.00,3165814.00,689,44,NULL,NULL,6.39,5.26
"ST MARYS REGL MEDICAL CENTER",ENID,OK,U,-7052500.00,94757502.00,88998495.00,3825,1155,0.1282,1245475.00,30.20,7.80
"SUMMIT MEDICAL CENTER",EDMOND,OK,U,2852032.00,37518689.00,30485962.00,409,20,0.1056,40044.00,4.89,9.47
"HOSPITAL HIMA SAN PABLO BAYAMON",BAYAMON,PR,U,-52849884.00,41700230.00,91058647.00,4066,220,0.9970,NULL,5.41,1.00
"MARSHFIELD MEDICAL CENTER WESTON",WESTON,WI,U,-138621562.00,105842631.00,172031240.00,3848,1123,0.3856,1537849.00,29.18,2.59
"MARSHFIELD MEDICAL CENTER-MINOCQUA",MINOCQUA,WI,R,-22223932.00,123346352.00,120573074.00,1332,341,0.3716,396593.00,25.60,2.69
